	record_number	catalogue_title	eng_host_item	courier_id	year	publication_date	pages	notes
1365	78966	The Compassionate eye	The UNESCO Courier: a window open on the world XLI, 4 p. 8-11, illus., ports. 79179 eng	 79179 eng	1988	1988|Apr. 1988	[8, 9, 10, 11]	Abridged version of a study entitled 'Martine Franck', which appeared in 'Portraits, photographies de Martine Franck', Amiens, Trois Cailloux publishers, Maison de la Culture d'Amiens, 1988
1367	76485	Complementary medicine	The UNESCO Courier: a window open on the world XL, 8 p. 16-19, illus. 76498 eng	 76498 eng	1987	1987	[16, 17, 18, 19]	A longer version of this article has appeared in 'Impact of science on society', No. 143, 1986
1368	74051	The Complete man	The UNESCO Courier II, 7 p. 11 74029 eng	 74029 eng	1949	1949	[11]	
1369	88830	A Composer in his time	The UNESCO courier: a window open on the world XLIV, 7 p. 34-35, ports 88837 eng	 88837 eng	1991	1991	[34, 35]	
1370	48989	Computer confirms Darwin was right	The UNESCO Courier: a window open on the world XXXV, 5 p. 33-35, illus. 74714 eng	 74714 eng	1982	1982	[33, 34, 35]	
1371	63556	Computer deciphers Maya hieroglyphs; cryptogram technique used to solve linguistic enigma	The UNESCO Courier: a window open on the world XV, 3 p. 26-32, illus. 78286 eng	 78286 eng	1962	1962	[26, 27, 28, 29, 30, 31, 32]	
1372	53607	The Computer generation	The UNESCO Courier: a window open on the world XXXVI, 3 p. 24-25, illus. 74689 eng	 74689 eng	1983	1983	[24, 25]	
1373	62750	The Computer revolution in research libraries	The UNESCO Courier: a window open on the world XXXVIII, 2 p. 26-27, illus. 62882 eng	 62882 eng	1985	1985	[26, 27]	
1374	51880	The Computer takes a crack at code-cracking	The UNESCO Courier: a window open on the world XXVI, 12 p. 31-33, illus. 74896 eng	 74896 eng	1973	1973	[31, 32, 33]	"Extracts from ""Further progress in the Indus script decipherment"", Scandinavian Institute of Asian Studies, Copenhagen, 1970 (Special Pub. No. 3.)"
1375	50343	A Computer warning of hunger tomorrow; a new global model analyses four options for tomorrow in the face of looming disaster	The UNESCO Courier: a window open on the world XXVII, 7/8 p. 30-34, 68, illus. 74876 eng	 74876 eng	1974	1974	[30, 31, 32, 33, 34]	
1376	79620	Computerized typesetting in China	The UNESCO Courier: a window open on the world XLI, 7 p. 20-21, illus. 79609 eng	 79609 eng	1988	1988	[20, 21]	
1377	53605	Computers and literacy in traditional languages	The UNESCO Courier: a window open on the world XXXVI, 3 p. 18-23, illus. 74689 eng	 74689 eng	1983	1983	[18, 19, 20, 21, 22, 23]	"Material from an article previously published in the ""Boston review""."
1378	119238	Computers rebuild the past	The UNESCO courier 53, 3 p. 40-42, illus. 119217 eng	 119217 eng	2000	2000|Mar. 2000	[40, 41, 42]	
1379	74118	Concentrated programme' for UNESCO urged by delegates to 4th General Conference	The UNESCO Courier II, 9 p. 3 74116 eng	 74116 eng	1949	1949	[3]	
1380	56920	The Concrete cage	The UNESCO Courier: a window open on the world XXIII, 8/9 p. 54-59, illus. 78262 eng	 78262 eng	1970	1970	[54, 55, 56, 57, 58, 59]	
1381	69884	Concrete music	The UNESCO courier VII, 3 p. 18-20, illus. 69904 eng	 69904 eng	1954	1954	[18, 19, 20]	Published in 3 editions
1382	71626	The Concrete poetry movement	The UNESCO Courier: a window open on the world XXXIX, 12 p. 28, illus. 71641 eng	 71641 eng	1986	1986	[28]	
1383	73883	Conditions of intellectual activity in the Arab world: a Lebanese speaks out	The UNESCO Courier I, 10 p. 8 73867 eng	 73867 eng	1948	1948	[8]	
1384	117427	A Condom tree in Burkina Faso	The UNESCO courier 52, 10 p. 25, illus. 117419 eng	 117419 eng	1999	1999|Oct. 1999	[25]	
1386	81487	Conference resolutions give UNESCO added power to work for peace	The UNESCO Courier III, 6/7 p. 7 81475 eng	 81475 eng	1950	1950|July - Aug. 1950	[7]	Published in 3 editions
1388	70997	Conflict about six raised dots	The UNESCO Courier V, 3 p. 11, illus. 70990 eng	 70990 eng	1952	1952	[11]	Published in 3 editions
1389	60661	Confronting the irascible Irazu	The UNESCO Courier: a window open on the world XVIII, 11 p. 18-23, 30, illus. 78211 eng	 78211 eng	1965	1965	[18, 19, 20, 21, 22, 23]	
1390	76662	Confucius and capitalism	The UNESCO Courier: a window open on the world XL, 12 p. 34-37, illus. 76667 eng	 76667 eng	1987	1987	[34, 35, 36, 37]	
1391	74178	Congress of Americanists extends international cultural ties	The UNESCO Courier II, 10 p. 22 74130 eng	 74130 eng	1949	1949	[22]	
1392	120410	Connected and capable	The UNESCO courier 53, 9 p. 33 120395 eng	 120395 eng	2000	2000|Sept. 2000	[33]	
1393	192324	Conquering the job market	The UNESCO courier 64, 2 p. 36-37, illus. 192261 eng	 192261 eng	2011	2011|Apr.-June 2011	[36, 37]	
1395	69033	Conquest of the desert; science accepts the challenge	The UNESCO Courier: a window open on the world VIII, 8/9 p. 6-10, 12-13, illus., map 69080 eng	 69080 eng	1955	1955	[6, 7, 8, 9, 10]	Published in 3 editions
1396	86638	The Conscience of the journalist	The UNESCO Courier: a window open on the world XLIII, 9 p. 12-15, illus. 86687 eng	 86687 eng	1990	1990	[12, 13, 14, 15]	
1397	50578	The Consequences of nuclear war	The UNESCO Courier: a window open on the world XXXV, 8/9 p. 44-47, illus. 74721 eng	 74721 eng	1982	1982	[44, 45, 46, 47]	"Article from ""Common security: a programme for disarmament"", Pan Books, Ltd., London."
1398	48182	Consequences of the use of nuclear weapons	The UNESCO Courier: a window open on the world XXXV, 3 p. 18-19, illus. 74713 eng	 74713 eng	1982	1982	[18, 19]	
1399	44591	Conservation for development	The UNESCO Courier: a window open on the world XXXIV, 4 p. 28-29, 34, illus. 74737 eng	 74737 eng	1981	1981	[28, 29]	
1400	80953	The Conservation of ancient cities	The UNESCO Courier: a window open on the world XLI, 8 p. 12-15, illus. 80978 eng	 80978 eng	1988	1988	[12, 13, 14, 15]	
1402	70860	Contacts between cultures; Christian, Near Eastern art	The UNESCO Courier VI, 12 p. 21-22, illus. 70862 eng	 70862 eng	1953	1953	[21, 22]	Published in 3 editions
1403	123772	Contemporary art: who calls the shots?	The UNESCO courier 54, 10 p. 42-43, illus. 123798 eng	 123798 eng	2001	2001|Oct. 2001	[42, 43]	Interview
1404	73986	Contemporary Indian films for international understanding	The UNESCO Courier: supplement II, 4 p. 8 73970 eng	 73970 eng	1949	1949	[8]	
1405	186065	Contemporary Indian films for international understanding	The UNESCO courier Special issue p. 26-27, illus. 185958 eng	 185958 eng	2009	2009|Nov. 2009	[26, 27]	Reprinted from: The UNESCO Courier: supplement, vol. 2, no. 4, 1949
1406	62737	Contested records: the legal status of national archives	The UNESCO Courier: a window open on the world XXXVIII, 2 p. 9-11, illus. 62882 eng	 62882 eng	1985	1985	[9, 10, 11]	
1407	124295	Context is the watchword	The UNESCO courier 54, 11 p. 46, illus. 124272 eng	 124272 eng	2001	2001|Nov. 2001	[46]	
1408	60633	A Continent in quest of a publishing industry; a UNESCO survey in Africa	The UNESCO Courier: a window open on the world XVIII, 9 p. 28-31, illus. 60619 eng	 60619 eng	1965	1965	[28, 29, 30, 31]	
1409	98438	A Continent of fear	The UNESCO courier: a window open on the world XLVII, 10 p. 16-18, illus. 98493 eng	 98493 eng	1994	1994	[16, 17, 18]	
1410	44634	A Continent viewed from within; Africa and its history	The UNESCO Courier: a window open on the world XXXII, 8/9 p. 6-11, 70, illus. 74777 eng	 74777 eng	1979	1979	[6, 7, 8, 9, 10, 11]	
1411	62429	The Continuing barrier: translation and East-West communications	The UNESCO Courier: a window open on the world XVI, 2 p. 6-9, illus. 78196 eng	 78196 eng	1963	1963	[6, 7, 8, 9]	Article taken from UNESCO's 'Bulletin for libraries', vol. XVI, No. 6, Nov.-Dec. 1962.
1412	51775	Controversial Confucius; in China today, the ancient philosopher's works are a source of lively debate	The UNESCO Courier: a window open on the world XXXV, 12 p. 10-11, illus. 74732 eng	 74732 eng	1982	1982	[10, 11]	
1413	16925	The Controversy on continental drift	The UNESCO Courier: a window open on the world XIX, 10 p. 12-15, 31, illus. 16653 eng	 16653 eng	1966	1966	[12, 13, 14, 15]	
1414	120179	A Convenient scapegoat	The UNESCO courier 53, 7 p. 53-54, illus. 120152 eng	 120152 eng	2000	2000|July - Aug. 2000	[53, 54]	
1415	114985	A Convenient solution	The UNESCO courier 52, 2 p. 29-31, illus. 114969 eng	 114969 eng	1999	1999|Feb. 1999	[29, 30, 31]	
1416	89956	The Convention on the Rights of the Child	The UNESCO courier: a window open on the world XLIV, 10 p. 39-42, illus. 89961 eng	 89961 eng	1991	1991	[39, 40, 41, 42]	
1417	90309	Convergent streams	The UNESCO courier: a window open on the world XLIV, 12 p. 35-37, illus. 90316 eng	 90316 eng	1991	1991	[35, 36, 37]	
1418	190683	Conversations on an Indian campus	The UNESCO Courier: a window open on the world XVIII, 5 p. 34-36, illus. 60487 eng	 60487 eng	1965	1965	[34, 35, 36]	
1419	123470	Converting the cannon fodder	The UNESCO courier 54, 9 p. 40, illus. 123512 eng	 123512 eng	2001	2001|Sept. 2001	[40]	
1420	122288	Cooking in a crossfire	The UNESCO courier 54, 4 p. 47-50, illus. 122266 eng	 122266 eng	2001	2001|Apr. 2001	[47, 48, 49, 50]	
1422	104372	The Coolies' odyssey	The UNESCO courier: a window open on the world 49, 10 p. 13-16, illus. 104412 eng	 104412 eng	1996	1996|Oct. 1996	[13, 14, 15, 16]	
1423	119223	A Copernican revolution	The UNESCO courier 53, 3 p. 17, port. 119217 eng	 119217 eng	2000	2000|Mar. 2000	[17]	
1425	50728	Copernicus, Galileo and Giordano Bruno: three thinkers who dared to challenge the powerful forces of tradition	The UNESCO Courier: a window open on the world XXVI, 4 p. 26-31, illus. 74884 eng	 74884 eng	1973	1973	[26, 27, 28, 29, 30, 31]	
1426	142067	Coping with emergencies	The New courier p. 66-67, illus. 142021 eng	 142021 eng	2005	2005|Nov. 2005	[66, 67]	
1427	87902	Coping with uncertainty	The UNESCO courier: a window open on the world XLIV, 3 p. 44-47, illus. 87907 eng	 87907 eng	1991	1991	[44, 45, 46, 47]	
1428	52917	Coptic voices from the past	The UNESCO Courier: a window open on the world XXIV, 5 p. 11 78268 eng	 78268 eng	1971	1971	[11]	
1429	46292	Copyright: the creator's bread and butter	The UNESCO Courier: a window open on the world XXXI, 11 p. 28-31, illus. 74806 eng	 74806 eng	1978	1978	[28, 29, 30, 31]	
1430	73779	Copyright expert views conflicting national laws	The UNESCO Courier I, 5 p. 3 73774 eng	 73774 eng	1948	1948	[3]	
1431	88515	Copyright is everybody's business	The UNESCO courier: a window open on the world XLIV, 6 p. 48-49, illus. 88517 eng	 88517 eng	1991	1991	[48, 49]	
1432	135064	Coral, cement and seaweed	The New courier p. 43-44, illus. 135045 eng	 135045 eng	2004	2004|Apr. 2004	[43, 44]	
1433	97272	Coral: taking the pulse of the planet	The UNESCO courier: a window open on the world XLVII, 7/8 p. 53-57, illus. 97246 eng	 97246 eng	1994	1994	[53, 54, 55, 56, 57]	
1434	122146	Corals under siege	The UNESCO courier 54, 3 p. 10-11, illus. 122144 eng	 122144 eng	2001	2001|Mar. 2001	[10, 11]	
1435	96932	Le Corbusier: art and the home	The UNESCO courier: a window open on the world XLVII, 4 p. 45-46 96934 eng	 96934 eng	1994	1994	[45, 46]	
1436	11868	Cordoba (Argentina) takes noise pollution abatement by the horns	The UNESCO Courier: a window open on the world XX, 7 p. 21-22, illus. 78367 eng	 78367 eng	1967	1967	[21, 22]	Article taken from the paper presented by the author to the Congress of the International Association against Noise, Baden-Baden, 1966.
1437	90307	Córdoba the magnificent	The UNESCO courier: a window open on the world XLIV, 12 p. 28-31, illus. 90316 eng	 90316 eng	1991	1991	[28, 29, 30, 31]	
1439	103081	Corruption and democracy	The UNESCO courier: a window open on the world 49, 6 p. 18-21, illus. 103084 eng	 103084 eng	1996	1996|June 1996	[18, 19, 20, 21]	
1440	104945	Cosmetics and culture	The UNESCO courier: a window open on the world 49, 12 p. 19-21, illus. 104975 eng	 104975 eng	1996	1996|Dec. 1996	[19, 20, 21]	
